 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194
Bb dorian (2b),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
D dorian (2#),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Bb phrygian (2b),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
D phrygian (2#),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Bb lydian (2b),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
D lydian (2#),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Bb mixolydian (2b),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
D mixolydian (2#),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Bb aeolian (2b),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
D aeolian (2#),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Bb locrian (2b),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
D locrian (2#),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Eb major (3b), Bb major (2b), Ab major (4b), C# minor (4#), Ab major (4b), Ab major (4b), C# minor (4#), C# minor (4#), Ab major (4b), Eb major (3b), Eb major (3b), Ab major (4b), Ab major (4b), Ab major (4b), F minor (4b), C major (0), C major (0), C major (0), C minor (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Bb major (2b), G minor mel (2b), C major (0), F major (1b), G minor mel (2b), G minor mel (2b), C minor mel (3b), Bb minor (5b), Ab minor (7b), Ab minor (7b), Eb major (3b), Bb major (2b), Eb major (3b), Eb major (3b), Eb major (3b), Ab major (4b), Cb aeolian (7b), Eb major (3b), Eb minor (6b), Ab major (4b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Ab major (4b), Eb major (3b), Eb major (3b), Ab major (4b), C minor mel (3b), G minor mel (2b), C minor mel (3b), Eb major (3b), Eb major (3b), Eb aeolian (3b), C major (0), C minor (3b), G minor (2b), G minor mel (2b), C minor mel (3b), C major (0), C minor (3b), C minor (3b), Bb major (2b), Bb minor (5b), Eb minor (6b), Cb aeolian (7b), Ab major (4b), Bb major (2b), Eb major (3b), Eb major (3b), Eb major (3b), Ab major (4b), E dorian (4#), Ab lydian (4b), E dorian (4#), Ab major (4b), Ab minor (7b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Bb major (2b), Eb major (3b), Ab major (4b), F minor mel (4b), C minor mel (3b), C minor mel (3b), Eb major (3b), Eb major (3b), Eb major (3b), Bb major (2b), Eb major (3b), C minor mel (3b), C minor mel (3b), C major (0), F major (1b), Bb major (2b), G minor mel (2b), Bb major (2b), F minor (4b), Ab minor (7b), Ab minor (7b), Eb major (3b), C minor (3b), Eb major (3b), Bb major (2b), Eb lydian (3b), Cb dorian (7b), Gb aeolian (6b), C minor (3b), A minor mel (0), C minor (3b), Eb major (3b), Eb major (3b), Eb major (3b), Bb major (2b), Eb major (3b), Eb major (3b), Eb major (3b), Ab major (4b), C minor mel (3b), G minor mel (2b), Bb major (2b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), C minor mel (3b), Eb aeolian (3b), C major (0), F major (1b), Bb major (2b), Eb major (3b), C minor (3b), Eb minor (6b), Gb aeolian (6b), G minor mel (2b), C major (0), C minor (3b), Eb major (3b), F minor mel (4b), Ab major (4b), Ab major (4b), Gb major (6b), Eb major (3b), Eb minor (6b), Eb major (3b), Eb major (3b), C minor (3b), F minor (4b), Ab major (4b), Ab major (4b), Eb major (3b), Eb major (3b), Ab major (4b), C minor mel (3b), C minor mel (3b), G minor mel (2b), Bb major (2b), Eb major (3b), Eb major (3b), Eb major (3b), C minor (3b), G minor (2b), C major (0), C major (0), C major (0), Bb major (2b), G minor mel (2b), Bb major (2b), Bb minor (5b), Ab minor (7b), Ab minor (7b), Ab major (4b), Ab major (4b), Ab major (4b), Eb major (3b), Eb major (3b), Ab major (4b), Gb major (6b), Eb major (3b), Eb minor (6b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b)
A major (3#), A major (3#), A major (3#), D lydian (2#), F dorian (1b), F dorian (1b), D lydian (2#), D lydian (2#), F dorian (1b), C aeolian (0), F# minor (3#), F# major (6#), G# minor mel (5#), G# minor mel (5#), C# minor mel (4#), D major (2#), G major (1#), G major (1#), E minor (1#), G# minor mel (5#), D# minor mel (6#), G# minor mel (5#), F# minor mel (3#), A major (3#), D major (2#), D major (2#), A major (3#), A major (3#), D major (2#), D major (2#), A major (3#), F# minor (3#), E major (4#), E minor (1#), A minor (0), F aeolian (1b), C aeolian (0), F# minor mel (3#), C# minor mel (4#), E major (4#), E minor (1#), A major (3#), F# minor (3#), F# major (6#), F# minor (3#), A major (3#), A minor (0), F# minor (3#), G# minor mel (5#), C# minor mel (4#), F# minor mel (3#), D major (2#), G major (1#), G major (1#), G minor (2b), C minor (3b), D minor (1b), E minor (1#), C# minor (4#), D major (2#), D major (2#), A minor (0), A minor (0), G minor (2b), G major (1#), D major (2#), D major (2#), F# minor mel (3#), A major (3#), D major (2#), A minor (0), C phrygian (0), E minor (1#), A minor (0), A major (3#), E major (4#), A minor (0), A major (3#), F# minor (3#), E major (4#), C# minor (4#), Ab major (4b), C minor (3b), F minor (4b), D minor (1b), A minor (0), F# minor mel (3#), A minor (0), C major (0), C major (0), C minor (3b), C minor (3b), A minor (0), D minor (1b), C minor (3b), C major (0), C major (0), A minor (0), A minor (0), A minor (0), E minor (1#), D minor (1b), D major (2#), E major (4#), A major (3#), G major (1#), A minor (0), F# major (6#), C minor (3b), A minor (0), F# minor mel (3#), B minor (2#), A minor (0), A minor mel (0), C minor (3b), G minor (2b), Bb phrygian (2b), C minor (3b), A minor (0), D minor (1b), E minor (1#), C# minor mel (4#), F# minor mel (3#), A minor (0), A minor (0), G phrygian (1#), E minor (1#), G# minor mel (5#), D# minor mel (6#), G# minor mel (5#), C# minor mel (4#), A major (3#), C major (0), A minor (0), A minor (0), A minor (0), F# minor (3#), F# minor (3#), F# minor (3#), E major (4#), E minor (1#), G major (1#), C minor (3b), D minor (1b), D minor (1b), A minor (0), C# minor (4#), E major (4#), E minor (1#), E major (4#), F# major (6#), G# minor mel (5#), C# minor (4#), B minor (2#), G# minor mel (5#), C# major (7#), F# major (6#), C# major (7#), C# minor mel (4#), F# minor (3#), E minor (1#), G major (1#), B minor (2#), G# minor mel (5#), D# minor mel (6#), G# minor mel (5#), F# minor mel (3#), A major (3#), D major (2#), A major (3#), A major (3#), A minor (0), E minor (1#), D major (2#), A major (3#), F# minor (3#), A major (3#), C# minor mel (4#), G# minor mel (5#), F# major (6#), G# minor mel (5#), G# minor mel (5#), C# minor mel (4#), E major (4#), E minor (1#), F# minor (3#), D# minor mel (6#), G# minor mel (5#), C# minor mel (4#), G# minor mel (5#), C# minor mel (4#), F# minor mel (3#), A major (3#), A major (3#), A major (3#), A major (3#)
C minor (3b), C major (0), A major (3#), A minor (0), C minor (3b), C minor (3b), A minor (0), A minor (0), C minor (3b), C minor (3b), C minor (3b), F minor (4b), Bb phrygian (2b), C minor (3b), F minor (4b), C major (0), C major (0), C major (0), C minor (3b), C minor (3b), Bb phrygian (2b), Bb phrygian (2b), C minor (3b), C major (0), G major (1#), C major (0), C major (0), G major (1#), G major (1#), C major (0), Bb minor (5b), Ab minor (7b), Ab minor (7b), Eb major (3b), C minor mel (3b), Bb phrygian (2b), C minor (3b), C minor (3b), F minor (4b), F minor (4b), C minor (3b), Eb minor (6b), F minor (4b), Bb phrygian (2b), C minor (3b), C minor (3b), C minor (3b), F minor (4b), Bb phrygian (2b), C minor (3b), F minor (4b), C major (0), A minor mel (0), C major (0), C minor (3b), C minor (3b), Eb aeolian (3b), C major (0), C minor (3b), G minor (2b), G minor mel (2b), C minor mel (3b), C major (0), C minor (3b), C minor (3b), C major (0), G major (1#), E minor mel (1#), A minor mel (0), G major (1#), C major (0), Bb phrygian (2b), C minor (3b), F minor (4b), F minor (4b), Bb minor (5b), C minor (3b), A minor mel (0), D minor (1b), C major (0), C minor (3b), Eb aeolian (3b), Eb aeolian (3b), Eb aeolian (3b), Bb aeolian (2b), Eb aeolian (3b), Ab aeolian (4b), C major (0), C major (0), C major (0), C minor (3b), C minor (3b), Bb phrygian (2b), G minor (2b), C minor (3b), C major (0), C major (0), C major (0), C major (0), C major (0), G major (1#), C major (0), G major (1#), E minor (1#), G major (1#), G minor (2b), C minor (3b), Eb aeolian (3b), Eb aeolian (3b), Bb aeolian (2b), Ab aeolian (4b), Gb aeolian (6b), C minor (3b), A minor mel (0), C minor (3b), Bb phrygian (2b), Bb phrygian (2b), Bb phrygian (2b), C minor mel (3b), Bb phrygian (2b), Bb phrygian (2b), Bb phrygian (2b), F minor (4b), C minor (3b), C major (0), C minor (3b), C minor (3b), C minor (3b), Bb phrygian (2b), Bb phrygian (2b), Bb phrygian (2b), C minor mel (3b), Eb aeolian (3b), C major (0), C major (0), C major (0), Eb aeolian (3b), C major (0), A minor mel (0), E minor mel (1#), G major (1#), C major (0), C minor (3b), Eb aeolian (3b), C major (0), Eb aeolian (3b), Ab aeolian (4b), Gb aeolian (6b), Eb major (3b), Eb minor (6b), Eb major (3b), Eb major (3b), C minor (3b), F minor (4b), F minor (4b), F minor (4b), Bb phrygian (2b), C minor (3b), F minor (4b), C minor (3b), C major (0), C major (0), Bb phrygian (2b), Bb phrygian (2b), Bb phrygian (2b), Bb phrygian (2b), C minor (3b), G minor (2b), C major (0), C major (0), C major (0), C major (0), G major (1#), G minor (2b), Bb minor (5b), Ab minor (7b), Ab minor (7b), F minor (4b), F minor (4b), F minor (4b), Eb aeolian (3b), Eb aeolian (3b), Ab aeolian (4b), Gb aeolian (6b), Eb major (3b), Eb minor (6b), Eb major (3b), C minor (3b), C minor (3b), Bb phrygian (2b), Bb phrygian (2b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b)
F# minor (3#), F# minor (3#), F# minor (3#), C# minor (4#), Ab major (4b), Ab major (4b), C# minor (4#), C# minor (4#), Ab major (4b), Ab major (4b), F# minor (3#), F# major (6#), G# minor mel (5#), G# minor mel (5#), C# minor mel (4#), F# minor (3#), E minor (1#), C dorian (0), E minor (1#), G# minor mel (5#), D# minor mel (6#), G# minor mel (5#), F# minor mel (3#), F# minor (3#), B minor (2#), A phrygian (3#), E phrygian (4#), E phrygian (4#), B minor (2#), A phrygian (3#), F# minor (3#), B minor (2#), B major (5#), B minor (2#), A minor (0), Eb major (3b), Eb major (3b), Eb major (3b), Ab major (4b), C# minor (4#), E minor (1#), B minor (2#), F# minor (3#), F# major (6#), F# major (6#), F# major (6#), C# major (7#), C# major (7#), A# minor mel (7#), D# minor mel (6#), F# major (6#), F# minor (3#), E minor (1#), C major (0), Eb major (3b), Eb major (3b), Eb major (3b), C# minor (4#), C# minor (4#), F# minor (3#), B minor (2#), B minor (2#), E minor (1#), B minor (2#), E minor (1#), A phrygian (3#), A phrygian (3#), F# minor mel (3#), E phrygian (4#), B minor (2#), A minor (0), Eb major (3b), Ab major (4b), C# minor (4#), A dorian (3#), C# minor mel (4#), D# minor mel (6#), B major (5#), F# major (6#), B major (5#), D# minor mel (6#), Eb major (3b), Ab major (4b), C# major (7#), G# minor (5#), C# minor (4#), F# minor mel (3#), A minor (0), E minor (1#), E minor (1#), G aeolian (1#), C# major (7#), D# minor mel (6#), Eb major (3b), C# minor (4#), F# minor (3#), E minor (1#), A minor (0), A major (3#), A minor (0), B minor (2#), F# minor (3#), B minor (2#), E minor (1#), B minor (2#), B minor (2#), F# major (6#), F# major (6#), Eb major (3b), F# minor (3#), F# major (6#), F# major (6#), D# minor mel (6#), E aeolian (4#), Ab major (4b), Eb major (3b), Eb major (3b), Eb major (3b), A minor (0), D minor (1b), E minor (1#), C# minor mel (4#), F# minor (3#), B minor (2#), A minor (0), G phrygian (1#), E minor (1#), G# minor mel (5#), D# minor mel (6#), G# minor mel (5#), C# minor mel (4#), F# minor (3#), B minor (2#), B major (5#), A major (3#), A minor (0), F# minor (3#), F# minor (3#), F# minor (3#), F# minor mel (3#), B minor (2#), E minor (1#), G# minor mel (5#), D# minor mel (6#), Eb major (3b), C# minor (4#), C# minor (4#), E aeolian (4#), A# minor mel (7#), F# major (6#), F# major (6#), Ab major (4b), C# minor (4#), B minor (2#), G# minor mel (5#), C# major (7#), A# minor mel (7#), C# major (7#), C# major (7#), F# minor (3#), E minor (1#), D phrygian (2#), B minor (2#), G# minor mel (5#), D# minor mel (6#), G# minor mel (5#), F# minor mel (3#), A major (3#), D major (2#), A major (3#), A major (3#), A minor (0), B minor (2#), G dorian (1#), D dorian (2#), F# minor (3#), E phrygian (4#), C# minor (4#), G# minor mel (5#), F# major (6#), Ab major (4b), Ab major (4b), C# minor (4#), F# minor (3#), E minor (1#), F# minor (3#), D# minor mel (6#), G# minor mel (5#), D# minor mel (6#), A# minor mel (7#), F# major (6#), F# minor (3#), F# minor (3#), F# minor (3#), F# minor (3#), F# minor (3#)
